archetype,pearson_r,p_value,n_observations
Anchor,0.2450739513617154,0.00204568460688864,156
Middle-Over Squeezer,0.034690203090345234,0.6672499978707267,156
Death Specialist,-0.08063518653786797,0.31698937234602104,156
Powerplay Aggressor,-0.15933899133189974,0.0469390116906103,156
