season,team,low_sample_pct,matches_played,matches_won,win_pct
2008,Chennai Super Kings,3.6809815950920246,16,9,56.25
2008,Deccan Chargers,10.344827586206897,14,2,14.285714285714286
2008,Delhi Capitals,6.896551724137931,14,7,50.0
2008,Kolkata Knight Riders,14.285714285714286,13,6,46.15384615384615
2008,Mumbai Indians,19.858156028368793,14,7,50.0
2008,Punjab Kings,5.228758169934641,15,10,66.66666666666667
2008,Rajasthan Royals,10.975609756097562,16,13,81.25
2008,Royal Challengers Bengaluru,11.18421052631579,14,4,28.571428571428573
2009,Chennai Super Kings,6.25,14,8,57.142857142857146
2009,Deccan Chargers,6.470588235294118,16,9,56.25
2009,Delhi Capitals,2.5806451612903225,15,10,66.66666666666667
2009,Kolkata Knight Riders,17.424242424242426,13,3,23.076923076923077
2009,Mumbai Indians,18.3206106870229,13,5,38.46153846153846
2009,Punjab Kings,12.751677852348994,14,7,50.0
2009,Rajasthan Royals,8.695652173913043,13,6,46.15384615384615
2009,Royal Challengers Bengaluru,8.982035928143713,16,9,56.25
2010,Chennai Super Kings,12.209302325581396,16,9,56.25
2010,Deccan Chargers,8.670520231213873,16,8,50.0
2010,Delhi Capitals,9.271523178807946,14,7,50.0
2010,Kolkata Knight Riders,12.23021582733813,14,7,50.0
2010,Mumbai Indians,8.771929824561404,16,11,68.75
2010,Punjab Kings,11.805555555555555,14,4,28.571428571428573
2010,Rajasthan Royals,14.666666666666666,14,6,42.857142857142854
2010,Royal Challengers Bengaluru,13.20754716981132,16,8,50.0
2011,Chennai Super Kings,2.4691358024691357,16,11,68.75
2011,Deccan Chargers,7.4324324324324325,14,6,42.857142857142854
2011,Delhi Capitals,15.54054054054054,13,4,30.76923076923077
2011,Kochi Tuskers Kerala,8.666666666666666,14,6,42.857142857142854
2011,Kolkata Knight Riders,7.096774193548387,15,8,53.333333333333336
2011,Mumbai Indians,7.831325301204819,16,10,62.5
2011,Pune Warriors,16.216216216216218,13,4,30.76923076923077
2011,Punjab Kings,9.523809523809524,14,7,50.0
2011,Rajasthan Royals,21.09375,13,6,46.15384615384615
2011,Royal Challengers Bengaluru,14.556962025316455,16,10,62.5
2012,Chennai Super Kings,3.763440860215054,18,10,55.55555555555556
2012,Deccan Chargers,13.125,15,4,26.666666666666668
2012,Delhi Capitals,4.301075268817204,18,11,61.111111111111114
2012,Kolkata Knight Riders,7.865168539325842,17,12,70.58823529411765
2012,Mumbai Indians,9.94475138121547,17,10,58.8235294117647
2012,Pune Warriors,2.9239766081871346,16,4,25.0
2012,Punjab Kings,14.035087719298245,16,8,50.0
