archetype,slope,intercept,r_value,p_value,n_team_seasons
Anchor,-0.29552440830970855,49.70764505325293,-0.009417376733911041,0.907113958971231,156
Death Specialist,-0.012854954042858713,49.31620723070587,-0.0003039928081541167,0.9969949085293424,156
Middle-Over Squeezer,0.18530623929849338,49.19937414503619,0.007217852612533777,0.9287425093754007,156
Powerplay Aggressor,4.890782596069033,46.24622968812759,0.16275995437171528,0.0430261845742138,155
