player,archetype,old_team,season_before,score_before,new_team,season_after,score_after,delta,league_std,team_archetype_mean,classification,moved_toward_new_team_mean
AS Joseph,Death Specialist,Gujarat Titans,2023,0.015693221638747916,Royal Challengers Bengaluru,2024,-0.39146804801334506,-0.407161269652093,1.192730667767415,0.7042783976909163,Stable,False
AS Rajpoot,Middle-Over Squeezer,Kolkata Knight Riders,2017,0.575746039074167,Punjab Kings,2018,-0.6722050828064745,-1.2479511218806416,1.4113279201609845,0.2758982936596463,Stable,False
AS Rajpoot,Death Specialist,Punjab Kings,2019,0.10756482119040305,Rajasthan Royals,2020,-0.8485363205167039,-0.9561011417071069,1.1685464989120908,0.14506120257687014,Stable,False
AS Roy,Death Specialist,Mumbai Indians,2019,2.4891732487593305,Kolkata Knight Riders,2022,2.5073370722081756,0.01816382344884504,1.1629921003502353,1.4101272286562592,Stable,False
Abdul Samad,Death Specialist,Sunrisers Hyderabad,2024,0.511046851005215,Lucknow Super Giants,2025,0.27977020073094844,-0.23127665027426653,1.1237425393337022,0.44928498197680156,Stable,False
Abhishek Sharma,Death Specialist,Delhi Capitals,2018,0.9726031653659856,Sunrisers Hyderabad,2019,2.4891732487593305,1.5165700833933449,1.0948862151118541,0.5904893030297182,Adaptable,False
Akash Deep,Death Specialist,Royal Challengers Bengaluru,2024,-2.1761939237716477,Lucknow Super Giants,2025,-0.4660152009915039,1.7101787227801437,1.1237425393337022,0.44928498197680156,Adaptable,True
Akash Singh,Death Specialist,Chennai Super Kings,2023,0.04768117484465556,Lucknow Super Giants,2025,2.3390285336008994,2.291347358756244,1.1237425393337022,0.44928498197680156,Adaptable,False
Aman Hakim Khan,Death Specialist,Kolkata Knight Riders,2022,2.5073370722081756,Delhi Capitals,2023,-0.10346197352003175,-2.6107990457282075,0.9939108606197922,-0.08046301071527918,Adaptable,True
Ankit Sharma,Death Specialist,Sunrisers Hyderabad,2013,2.5509406417161324,Rajasthan Royals,2014,2.7190042028341375,0.16806356111800502,1.1350879016139053,1.4601403456861157,Stable,False
Anmolpreet Singh,Powerplay Aggressor,Mumbai Indians,2022,0.4153519864636829,Sunrisers Hyderabad,2023,0.4157195891159102,0.0003676026522273501,0.8676617843262627,0.3288656205249437,Stable,False
Anureet Singh,Death Specialist,Punjab Kings,2017,-0.22289187345400524,Rajasthan Royals,2018,2.7742769656421578,2.997168839096163,1.2677842702626976,0.8819233633043585,Adaptable,False
Ashutosh Sharma,Death Specialist,Punjab Kings,2024,0.32039375585746943,Delhi Capitals,2025,0.2930033144529909,-0.02739044140447855,1.1237425393337022,0.9139373923409763,Stable,False
Atharva Taide,Powerplay Aggressor,Punjab Kings,2024,0.5344406733391096,Sunrisers Hyderabad,2025,0.43844286398733584,-0.09599780935177377,1.045410959606985,0.5720171617291643,Stable,False
Avesh Khan,Middle-Over Squeezer,Delhi Capitals,2021,0.7800674308696683,Lucknow Super Giants,2022,0.788355396240116,0.008287965370447625,1.0812241852825197,0.859346394913993,Stable,True
Azmatullah Omarzai,Middle-Over Squeezer,Gujarat Titans,2024,2.5363386262670935,Punjab Kings,2025,-0.08584919985644777,-2.6221878261235414,1.200295880613949,0.2827804275331557,Adaptable,True
B Kumar,Death Specialist,Pune Warriors,2013,0.20660824262803185,Sunrisers Hyderabad,2014,0.3621803083661974,0.15557206573816557,1.1350879016139053,1.08263808768847,Stable,True
B Laughlin,Middle-Over Squeezer,Chennai Super Kings,2013,0.44220628480203855,Rajasthan Royals,2018,-0.3431820745008972,-0.7853883593029358,1.4113279201609845,1.1914239062308545,Stable,False
BA Stokes,Middle-Over Squeezer,Rising Pune Supergiant,2017,0.4434139612412168,Rajasthan Royals,2018,0.3831132967742616,-0.0603006644669552,1.4113279201609845,1.1914239062308545,Stable,False
BB McCullum,Powerplay Aggressor,Kochi Tuskers Kerala,2011,0.8672537646276048,Kolkata Knight Riders,2012,-0.05033586083043698,-0.9175896254580418,0.7576166990013617,0.5889315500030632,Adaptable,False
BB McCullum,Powerplay Aggressor,Chennai Super Kings,2015,1.0318612276221704,Gujarat Lions,2016,0.8967806730927832,-0.13508055452938716,0.9056031481890515,0.2286491788867154,Stable,True
BB McCullum,Powerplay Aggressor,Gujarat Lions,2017,0.658182886814687,Royal Challengers Bengaluru,2018,0.40521763622796964,-0.2529652505867173,0.44629537274048015,0.4924552585140086,Stable,True
BB Sran,Death Specialist,Rajasthan Royals,2015,2.3831776507891598,Sunrisers Hyderabad,2016,0.3395734429581422,-2.0436042078310175,1.0293195393612475,0.41858853368800714,Adaptable,True
