season,player,discipline,archetype,archetype_score,is_low_sample,total_balls_faced,overall_strike_rate,dismissal_rate,strike_rate_Powerplay,strike_rate_Middle,strike_rate_Death,balls_share_Powerplay,balls_share_Middle,balls_share_Death,total_balls_bowled,overall_economy,economy_Powerplay,economy_Middle,economy_Death
2008,A Chopra,Batter,Powerplay Aggressor,-0.7941624464572485,True,52.0,80.76923076923077,0.07692307692307693,65.71428571428571,120.0,50.0,0.6730769230769231,0.28846153846153844,0.038461538461538464,,,,,
2008,A Mukund,Batter,Death Specialist,-1.6920823137915495,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,
2008,A Symonds,Batter,Anchor,2.530167840668862,False,105.0,153.33333333333334,0.01904761904761905,121.05263157894737,140.0,223.80952380952382,0.18095238095238095,0.6190476190476191,0.2,,,,,
2008,AB de Villiers,Batter,Anchor,1.1840324172375998,False,98.0,96.93877551020408,0.04081632653061224,93.33333333333333,94.91525423728814,122.22222222222223,0.30612244897959184,0.6020408163265306,0.09183673469387756,,,,,
2008,AC Gilchrist,Batter,Powerplay Aggressor,0.48425219353884463,False,318.0,137.1069182389937,0.040880503144654086,128.0373831775701,155.76923076923077,0.0,0.6729559748427673,0.3270440251572327,0.0,,,,,
2008,AM Nayar,Batter,Death Specialist,1.0379924519623063,False,138.0,149.27536231884056,0.057971014492753624,0.0,115.05376344086022,220.00000000000003,0.0,0.6739130434782609,0.32608695652173914,,,,,
2008,AM Rahane,Batter,Powerplay Aggressor,-1.6594878657418664,True,17.0,23.52941176470588,0.11764705882352941,23.52941176470588,0.0,0.0,1.0,0.0,0.0,,,,,
2008,AS Yadav,Batter,Death Specialist,-0.023227833158315118,True,39.0,125.64102564102564,0.1282051282051282,0.0,100.0,134.48275862068965,0.0,0.2564102564102564,0.7435897435897436,,,,,
2008,B Chipli,Batter,Powerplay Aggressor,-0.6769470510163041,True,28.0,71.42857142857143,0.10714285714285714,71.42857142857143,0.0,0.0,1.0,0.0,0.0,,,,,
2008,BB McCullum,Batter,Death Specialist,1.794376802647356,False,92.0,204.34782608695653,0.03260869565217391,182.05128205128204,181.25,280.9523809523809,0.42391304347826086,0.34782608695652173,0.22826086956521738,,,,,
2008,BJ Hodge,Batter,Powerplay Aggressor,-0.6941846091693841,True,17.0,70.58823529411765,0.11764705882352941,70.58823529411765,0.0,0.0,1.0,0.0,0.0,,,,,
2008,CK Kapugedera,Batter,Death Specialist,-0.7613750072845534,True,23.0,69.56521739130434,0.13043478260869565,0.0,33.33333333333333,75.0,0.0,0.13043478260869565,0.8695652173913043,,,,,
2008,CL White,Batter,Anchor,1.857119530838064,False,102.0,111.76470588235294,0.049019607843137254,50.0,115.38461538461537,170.0,0.13725490196078433,0.7647058823529411,0.09803921568627451,,,,,
2008,DB Das,Batter,Powerplay Aggressor,0.10143643433371635,False,94.0,109.57446808510637,0.06382978723404255,109.375,116.66666666666667,95.0,0.3404255319148936,0.44680851063829785,0.2127659574468085,,,,,
2008,DB Ravi Teja,Batter,Powerplay Aggressor,0.7882453919954993,False,82.0,132.9268292682927,0.07317073170731707,142.85714285714286,105.55555555555556,156.4102564102564,0.08536585365853659,0.43902439024390244,0.47560975609756095,,,,,
2008,DJ Hussey,Batter,Anchor,1.254388304389046,False,259.0,123.16602316602317,0.04247104247104247,68.96551724137932,107.40740740740742,183.8235294117647,0.11196911196911197,0.6254826254826255,0.2625482625482625,,,,,
2008,DJ Thornely,Batter,Anchor,1.5015422868532846,True,53.0,73.58490566037736,0.03773584905660377,20.0,106.06060606060606,0.0,0.37735849056603776,0.6226415094339622,0.0,,,,,
2008,DPMD Jayawardene,Batter,Powerplay Aggressor,1.6673608578025814,False,131.0,136.64122137404578,0.05343511450381679,185.71428571428572,139.70588235294116,107.14285714285714,0.16030534351145037,0.5190839694656488,0.32061068702290074,,,,,
2008,DS Lehmann,Batter,Powerplay Aggressor,0.592886399593925,True,18.0,100.0,0.1111111111111111,133.33333333333331,93.33333333333333,0.0,0.16666666666666666,0.8333333333333334,0.0,,,,,
2008,DT Patil,Batter,Death Specialist,3.271689987579097,True,13.0,100.0,0.07692307692307693,0.0,75.0,400.0,0.0,0.9230769230769231,0.07692307692307693,,,,,
2008,G Gambhir,Batter,Powerplay Aggressor,0.7068458118281767,False,379.0,140.89709762532982,0.03430079155672823,138.88888888888889,142.85714285714286,150.0,0.5699208443271768,0.38786279683377306,0.04221635883905013,,,,,
2008,GC Smith,Batter,Anchor,0.8698027743293703,False,362.0,121.82320441988949,0.024861878453038673,102.84090909090908,131.61290322580646,180.64516129032256,0.4861878453038674,0.4281767955801105,0.0856353591160221,,,,,
2008,H Das,Batter,Death Specialist,-1.195705083654485,True,5.0,40.0,0.2,0.0,0.0,40.0,0.0,0.0,1.0,,,,,
2008,HH Gibbs,Batter,Powerplay Aggressor,-0.09087007381158284,False,153.0,109.15032679738562,0.058823529411764705,100.0,125.45454545454547,0.0,0.6405228758169934,0.35947712418300654,0.0,,,,,
2008,J Arunkumar,Batter,Powerplay Aggressor,-0.09087007381158284,True,23.0,100.0,0.13043478260869565,100.0,0.0,0.0,1.0,0.0,0.0,,,,,
2008,K Goel,Batter,Powerplay Aggressor,-0.18702332788423243,False,78.0,97.43589743589743,0.0641025641025641,95.3125,107.14285714285714,0.0,0.8205128205128205,0.1794871794871795,0.0,,,,,
2008,KC Sangakkara,Batter,Powerplay Aggressor,1.6755008158193134,False,198.0,161.6161616161616,0.045454545454545456,186.11111111111111,142.2680412371134,165.51724137931035,0.36363636363636365,0.4898989898989899,0.14646464646464646,,,,,
