season,team,Anchor,Death Specialist,Middle-Over Squeezer,Powerplay Aggressor
2008,Chennai Super Kings,21.47239263803681,41.717791411042946,17.791411042944784,19.01840490797546
2008,Deccan Chargers,10.344827586206897,25.517241379310345,40.0,24.137931034482758
2008,Delhi Capitals,28.96551724137931,23.448275862068964,28.275862068965516,19.310344827586206
2008,Kolkata Knight Riders,12.142857142857142,61.42857142857143,16.428571428571427,10.0
2008,Mumbai Indians,18.43971631205674,43.97163120567376,23.404255319148938,14.184397163120567
2008,Punjab Kings,16.99346405228758,43.13725490196079,12.418300653594772,27.45098039215686
2008,Rajasthan Royals,15.24390243902439,26.829268292682926,37.19512195121951,20.73170731707317
2008,Royal Challengers Bengaluru,23.026315789473685,40.78947368421053,23.68421052631579,12.5
2009,Chennai Super Kings,25.0,45.833333333333336,9.027777777777779,20.13888888888889
2009,Deccan Chargers,32.94117647058823,30.0,20.0,17.058823529411764
2009,Delhi Capitals,25.806451612903224,44.516129032258064,18.06451612903226,11.612903225806452
2009,Kolkata Knight Riders,21.21212121212121,46.96969696969697,25.0,6.818181818181818
2009,Mumbai Indians,28.244274809160306,45.038167938931295,15.267175572519085,11.450381679389313
2009,Punjab Kings,25.503355704697988,40.939597315436245,19.463087248322147,14.093959731543624
2009,Rajasthan Royals,13.043478260869565,39.85507246376812,26.08695652173913,21.014492753623188
2009,Royal Challengers Bengaluru,25.748502994011975,37.724550898203596,20.95808383233533,15.568862275449101
2010,Chennai Super Kings,27.325581395348838,41.27906976744186,22.093023255813954,9.30232558139535
2010,Deccan Chargers,37.57225433526011,10.404624277456648,30.63583815028902,21.387283236994218
2010,Delhi Capitals,23.841059602649008,25.165562913907284,23.841059602649008,27.1523178807947
2010,Kolkata Knight Riders,24.46043165467626,31.654676258992804,24.46043165467626,19.424460431654676
2010,Mumbai Indians,14.619883040935672,32.748538011695906,26.900584795321638,25.730994152046783
2010,Punjab Kings,9.722222222222221,43.05555555555556,20.13888888888889,27.083333333333332
2010,Rajasthan Royals,20.0,36.0,27.333333333333332,16.666666666666668
2010,Royal Challengers Bengaluru,26.41509433962264,28.30188679245283,27.67295597484277,17.61006289308176
2011,Chennai Super Kings,18.51851851851852,44.44444444444444,24.074074074074073,12.962962962962964
2011,Deccan Chargers,19.594594594594593,15.54054054054054,46.62162162162162,18.243243243243242
2011,Delhi Capitals,11.486486486486486,70.94594594594595,13.513513513513514,4.054054054054054
2011,Kochi Tuskers Kerala,9.333333333333334,26.0,32.666666666666664,32.0
2011,Kolkata Knight Riders,18.70967741935484,52.903225806451616,13.548387096774194,14.838709677419354
2011,Mumbai Indians,37.34939759036145,39.1566265060241,12.048192771084338,11.44578313253012
