archetype,slope,intercept,r_value,p_value,n_team_seasons
Anchor,-0.2955244083097079,49.70764505325293,-0.009417376733911022,0.9071139589712311,156
Death Specialist,-0.012854954042855868,49.316207230705864,-0.0003039928081540495,0.996994908529343,156
Middle-Over Squeezer,0.18530623929849332,49.19937414503619,0.007217852612533777,0.9287425093754006,156
Powerplay Aggressor,4.890782596069032,46.24622968812759,0.1627599543717152,0.043026184574214005,155
