season,team,player,archetype,archetype_score,league_median_score,score_gap,weight_share,projected_quality_shift,slope,p_value,replacement_delta_win_pct,discipline,key_stat,key_stat_actual,key_stat_median,key_stat_deficit
2023,Kolkata Knight Riders,Liton Das,Powerplay Aggressor,-0.1327928108028223,0.3480816141619322,0.4808744249647544,0.0344827586206896,0.0165818767229225,4.890782596069032,0.043026184574214,0.0810983540866319,Batter,Powerplay SR,100.0,137.6,37.6
2018,Chennai Super Kings,M Vijay,Powerplay Aggressor,0.1863265056304089,0.4081917005023929,0.2218651948719839,0.0625,0.0138665746794989,4.890782596069032,0.043026184574214,0.0678184021095852,Batter,Powerplay SR,120.0,133.2,13.2
2013,Kolkata Knight Riders,BB McCullum,Powerplay Aggressor,0.0177063561746941,0.4804268272901159,0.4627204711154217,0.0238095238095238,0.0110171540741767,4.890782596069032,0.043026184574214,0.0538825054041944,Batter,Powerplay SR,85.7,115.8,30.1
2014,Rajasthan Royals,JP Faulkner,Death Specialist,-0.3671165960408395,0.8190454797172297,1.186162075758069,0.2280701754385964,0.2705281927167526,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.5,7.0,3.5
2014,Kolkata Knight Riders,M Morkel,Middle-Over Squeezer,0.0123149728280495,0.5658227814097088,0.5535078085816593,0.25,0.1383769521454148,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.1,7.1,1.0
2014,Royal Challengers Bengaluru,MA Starc,Death Specialist,0.20175359730017,0.8190454797172297,0.6172918824170597,0.2,0.1234583764834119,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,8.6,7.0,1.6
2014,Punjab Kings,P Awana,Middle-Over Squeezer,-0.4627262115485469,0.5658227814097088,1.0285489929582556,0.0843373493975903,0.0867450957916601,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,9.2,7.1,2.1
2014,Mumbai Indians,P Kumar,Death Specialist,-0.0732003294813179,0.8190454797172297,0.8922458091985477,0.2307692307692307,0.2059028790458187,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,9.5,7.0,2.5
2016,Royal Challengers Bengaluru,T Shamsi,Middle-Over Squeezer,-0.2351855613380021,0.3523357869562911,0.5875213482942934,0.0727272727272727,0.042728825330494,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.1,7.1,1.0
2016,Royal Challengers Bengaluru,VR Aaron,Middle-Over Squeezer,-0.8056696687400549,0.3523357869562911,1.158005455696346,0.1454545454545454,0.1684371571921957,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,9.3,7.1,2.2
2016,Royal Challengers Bengaluru,YS Chahal,Death Specialist,-0.0901749296856534,0.3395734429581422,0.4297483726437956,0.2280701754385964,0.0980127867433218,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,9.9,8.9,1.0
2014,Chennai Super Kings,IC Pandey,Middle-Over Squeezer,0.1204716710566496,0.5658227814097088,0.4453511103530591,0.2,0.0890702220706118,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,7.9,7.1,0.8
2017,Rising Pune Supergiant,A Zampa,Middle-Over Squeezer,-0.0384172932412698,0.4434139612412168,0.4818312544824866,0.0689655172413793,0.0332297416884473,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,7.8,7.0,0.8
2017,Delhi Capitals,AD Mathews,Death Specialist,-0.731805690172488,0.5018143908906135,1.2336200810631015,0.0246913580246913,0.0304597550879778,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,12.5,8.5,4.0
2017,Gujarat Lions,Ankit Soni,Middle-Over Squeezer,-0.1762906943733065,0.4434139612412168,0.6197046556145234,0.1304347826086956,0.0808310420366769,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.1,7.0,1.1
2017,Gujarat Lions,Basil Thampi,Middle-Over Squeezer,-0.1018390577620069,0.4434139612412168,0.5452530190032238,0.2608695652173913,0.142239918000841,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,7.9,7.0,0.9
2016,Kolkata Knight Riders,M Morkel,Death Specialist,-0.2642560960279957,0.3395734429581422,0.6038295389861379,0.2272727272727272,0.1372339861332131,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.6,8.9,1.7
2016,Punjab Kings,MG Johnson,Death Specialist,-0.3765384483188066,0.3395734429581422,0.7161118912769489,0.0454545454545454,0.0325505405125885,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,11.0,8.9,2.1
2016,Delhi Capitals,Mohammed Shami,Middle-Over Squeezer,0.0414500510875617,0.3523357869562911,0.3108857358687293,0.1454545454545454,0.0452197433990879,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,7.5,7.1,0.4
2016,Rising Pune Supergiant,NLTC Perera,Death Specialist,-0.6815978072824252,0.3395734429581422,1.0211712502405674,0.2448979591836734,0.2500827551609553,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,12.2,8.9,3.3
2016,Punjab Kings,P Sahu,Death Specialist,-0.1145462929735813,0.3395734429581422,0.4541197359317235,0.0757575757575757,0.0344030102978578,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.0,8.9,1.1
2017,Royal Challengers Bengaluru,A Choudhary,Death Specialist,-0.1502635085520365,0.5018143908906135,0.65207789944265,0.0943396226415094,0.0615167829662877,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.0,8.5,1.5
2015,Delhi Capitals,NM Coulter-Nile,Middle-Over Squeezer,-0.2055027158634335,0.3565888396119768,0.5620915554754103,0.1929824561403508,0.1084738089513949,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.4,7.2,1.2
2015,Mumbai Indians,P Suyal,Death Specialist,-0.1573967604653922,0.8709309774233549,1.0283277378887472,0.0384615384615384,0.0395510668418748,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.5,8.4,2.1
2015,Royal Challengers Bengaluru,D Wiese,Death Specialist,-0.0277756170340374,0.8709309774233549,0.8987065944573923,0.1917808219178082,0.172354689347993,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.0,8.4,1.5
2015,Rajasthan Royals,DS Kulkarni,Death Specialist,-0.0364170265961279,0.8709309774233549,0.9073480040194828,0.1666666666666666,0.1512246673365804,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,10.0,8.4,1.6
2015,Sunrisers Hyderabad,DW Steyn,Death Specialist,0.0240728403385042,0.8709309774233549,0.8468581370848506,0.2,0.1693716274169701,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,9.8,8.4,1.3
2015,Delhi Capitals,GS Sandhu,Middle-Over Squeezer,-0.1742133251013829,0.3565888396119768,0.5308021647133598,0.0350877192982456,0.0186246373583635,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.3,7.2,1.1
2015,Mumbai Indians,HH Pandya,Middle-Over Squeezer,-0.4149009463479265,0.3565888396119768,0.7714897859599035,0.3333333333333333,0.2571632619866345,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.8,7.2,1.6
