match_id,season,innings,over,ball,batting_team,bowling_team,batter,bowler,phase,wp_before,wp_after,leverage_index,dls_flag
336003,2008,1,16,3,Punjab Kings,Kolkata Knight Riders,IK Pathan,Umar Gul,Death,0.6129433586266411,0.6185631139948122,0.0056197553681711,False
336003,2008,2,9,6,Kolkata Knight Riders,Punjab Kings,DJ Hussey,VRV Singh,Middle,0.067213732310111,0.0670933831464059,0.0001203491637051,False
336003,2008,2,10,1,Kolkata Knight Riders,Punjab Kings,DJ Hussey,Gagandeep Singh,Middle,0.0670933831464059,0.0669037660629317,0.0001896170834742,False
336004,2008,1,13,4,Mumbai Indians,Delhi Capitals,AM Nayar,R Bhatia,Middle,0.6264086793405178,0.6268465497395362,0.0004378703990184,False
336005,2008,1,6,3,Chennai Super Kings,Rajasthan Royals,SK Raina,MM Patel,Middle,0.2337235475780432,0.2314002012772072,0.0023233463008359,False
336007,2008,1,3,1,Chennai Super Kings,Deccan Chargers,S Anirudha,RP Singh,Powerplay,0.3778491148905855,0.393138562346817,0.0152894474562315,False
336008,2008,2,6,2,Mumbai Indians,Rajasthan Royals,ST Jayasuriya,Sohail Tanvir,Middle,0.7911872832746584,0.7971129634808618,0.0059256802062034,False
336011,2008,1,6,3,Deccan Chargers,Rajasthan Royals,HH Gibbs,SK Warne,Middle,0.7709269083895747,0.7672665898800622,0.0036603185095124,False
336011,2008,1,16,4,Deccan Chargers,Rajasthan Royals,DB Ravi Teja,SR Watson,Death,0.3935896521526431,0.4127704262560833,0.0191807741034402,False
336013,2008,2,11,1,Punjab Kings,Chennai Super Kings,SE Marsh,M Muralitharan,Middle,0.5866063591255365,0.585779678220614,0.0008266809049224,False
336014,2008,1,5,6,Kolkata Knight Riders,Deccan Chargers,A Chopra,RP Singh,Powerplay,0.6118688062775332,0.6166212954582406,0.0047524891807074,False
336015,2008,1,14,2,Delhi Capitals,Rajasthan Royals,A Mishra,MM Patel,Middle,0.4365557424080868,0.4431366366318822,0.0065808942237953,False
336016,2008,1,8,1,Royal Challengers Bengaluru,Punjab Kings,CL White,VRV Singh,Middle,0.4657916380056267,0.4790854020761686,0.0132937640705418,False
336017,2008,1,6,1,Kolkata Knight Riders,Delhi Capitals,Salman Butt,VY Mahesh,Middle,0.5380475854956314,0.5447593218199778,0.0067117363243464,False
336018,2008,1,11,1,Chennai Super Kings,Mumbai Indians,S Badrinath,RR Raje,Middle,0.3280638358560321,0.3349609180518852,0.0068970821958531,False
336018,2008,1,19,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,DS Kulkarni,Death,0.7132955427509091,0.7274938839156914,0.0141983411647822,False
336018,2008,2,2,6,Mumbai Indians,Chennai Super Kings,ST Jayasuriya,MS Gony,Powerplay,0.6302734128560484,0.6482113537741395,0.017937940918091,False
336020,2008,2,2,5,Deccan Chargers,Delhi Capitals,Shahid Afridi,GD McGrath,Powerplay,0.4446748898613894,0.5194774412714984,0.074802551410109,False
336023,2008,1,11,4,Rajasthan Royals,Royal Challengers Bengaluru,SA Asnodkar,V Kohli,Middle,0.916373335735635,0.922989419654161,0.006616083918526,False
336023,2008,2,13,2,Royal Challengers Bengaluru,Rajasthan Royals,DT Patil,SK Warne,Middle,0.0229889913991824,0.0216222336540476,0.0013667577451347,False
336024,2008,1,0,4,Mumbai Indians,Deccan Chargers,ST Jayasuriya,DP Vijaykumar,Powerplay,0.6240500475707011,0.5846321748828751,0.039417872687826,False
336024,2008,2,8,2,Deccan Chargers,Mumbai Indians,Y Venugopal Rao,DJ Thornely,Middle,0.2175659133876699,0.2472692939711098,0.0297033805834398,False
336025,2008,1,5,2,Kolkata Knight Riders,Chennai Super Kings,Salman Butt,MS Gony,Powerplay,0.4026955631167378,0.4085699631763771,0.0058744000596393,True
336026,2008,2,3,3,Delhi Capitals,Royal Challengers Bengaluru,V Sehwag,Z Khan,Powerplay,0.7754182281442471,0.810108016245789,0.0346897881015418,False
336027,2008,1,11,1,Kolkata Knight Riders,Rajasthan Royals,DJ Hussey,YK Pathan,Middle,0.6428590767181749,0.6435107690196333,0.0006516923014584,False
336028,2008,1,9,2,Punjab Kings,Mumbai Indians,SE Marsh,CRD Fernando,Middle,0.7834824608354453,0.7867453028543494,0.0032628420189041,False
336028,2008,2,8,5,Mumbai Indians,Punjab Kings,AM Nayar,PP Chawla,Middle,0.6549198022330425,0.6424113783235765,0.0125084239094659,False
336029,2008,1,4,3,Royal Challengers Bengaluru,Chennai Super Kings,V Kohli,M Ntini,Powerplay,0.409686382004501,0.4054406734685986,0.0042457085359023,False
336029,2008,1,15,4,Royal Challengers Bengaluru,Chennai Super Kings,R Dravid,L Balaji,Death,0.394787487700027,0.4154105069666117,0.0206230192665847,False
336029,2008,1,17,6,Royal Challengers Bengaluru,Chennai Super Kings,B Akhil,M Ntini,Death,0.4121556729078671,0.4311033010392601,0.0189476281313929,False
336029,2008,2,14,4,Chennai Super Kings,Royal Challengers Bengaluru,JA Morkel,JH Kallis,Middle,0.5980225114192471,0.6026477634643542,0.0046252520451071,False
336033,2008,1,13,2,Rajasthan Royals,Chennai Super Kings,Kamran Akmal,SK Raina,Middle,0.937387386934382,0.9382210961068908,0.0008337091725088,False
336033,2008,1,14,6,Rajasthan Royals,Chennai Super Kings,Kamran Akmal,M Ntini,Middle,0.9301732013134713,0.9346985932798209,0.0045253919663496,False
336033,2008,1,18,1,Rajasthan Royals,Chennai Super Kings,Kamran Akmal,JA Morkel,Death,0.9351795139578406,0.936204406260494,0.0010248923026534,False
336034,2008,2,19,1,Deccan Chargers,Royal Challengers Bengaluru,SB Bangar,A Kumble,Death,0.0371237426018131,0.0171146065242802,0.0200091360775329,False
336034,2008,2,19,6,Deccan Chargers,Royal Challengers Bengaluru,AS Yadav,A Kumble,Death,0.0026735487926395,0.0,0.0026735487926395,False
336037,2008,2,12,5,Chennai Super Kings,Deccan Chargers,MS Dhoni,SB Styris,Middle,0.799714622303892,0.8022019742199975,0.0024873519161054,False
336037,2008,2,13,4,Chennai Super Kings,Deccan Chargers,SK Raina,Shahid Afridi,Middle,0.8390212065879307,0.832351085049531,0.0066701215383996,False
336037,2008,2,16,2,Chennai Super Kings,Deccan Chargers,JA Morkel,SB Styris,Death,0.7916538097692633,0.7919396535821968,0.0002858438129335,False
336038,2008,1,6,3,Rajasthan Royals,Delhi Capitals,GC Smith,MF Maharoof,Middle,0.837477509481771,0.8535216895396824,0.0160441800579114,False
336038,2008,2,4,4,Delhi Capitals,Rajasthan Royals,S Dhawan,MM Patel,Powerplay,0.1994673852697664,0.1911186969152676,0.0083486883544987,False
336038,2008,2,10,5,Delhi Capitals,Rajasthan Royals,TM Dilshan,SK Warne,Middle,0.0497325364483108,0.0516038373572526,0.0018713009089417,False
336039,2008,2,3,1,Chennai Super Kings,Punjab Kings,PA Patel,RR Powar,Powerplay,0.5209903451124891,0.5113330601859309,0.0096572849265581,False
336039,2008,2,8,3,Chennai Super Kings,Punjab Kings,PA Patel,JR Hopes,Middle,0.8135320232741621,0.8409884334129273,0.0274564101387652,False
392181,2009,2,1,4,Chennai Super Kings,Mumbai Indians,SK Raina,Z Khan,Powerplay,0.3422244826468459,0.3451013289772203,0.0028768463303744,False
392181,2009,2,15,1,Chennai Super Kings,Mumbai Indians,MS Dhoni,SL Malinga,Death,0.2727721631342811,0.2517573268432969,0.0210148362909842,False
392182,2009,2,2,6,Rajasthan Royals,Royal Challengers Bengaluru,GC Smith,P Kumar,Powerplay,0.3164422758371083,0.3088102784438398,0.0076319973932685,False
392182,2009,2,4,6,Rajasthan Royals,Royal Challengers Bengaluru,T Henderson,P Kumar,Powerplay,0.2306033939176783,0.2263377176190833,0.0042656762985949,False
392184,2009,1,11,1,Kolkata Knight Riders,Deccan Chargers,BJ Hodge,SB Styris,Middle,0.2512083761795765,0.25376510802287,0.0025567318432934,False
392184,2009,2,10,2,Deccan Chargers,Kolkata Knight Riders,HH Gibbs,M Kartik,Middle,0.8763145396934628,0.8807233334971173,0.0044087938036544,False
392185,2009,1,13,2,Chennai Super Kings,Royal Challengers Bengaluru,MS Dhoni,LRPL Taylor,Middle,0.8631765345361849,0.8655322639898105,0.0023557294536256,False
392185,2009,2,11,3,Royal Challengers Bengaluru,Chennai Super Kings,R Vinay Kumar,M Muralitharan,Middle,0.0342134007287071,0.0356968871056203,0.0014834863769131,False
392188,2009,2,11,5,Royal Challengers Bengaluru,Deccan Chargers,V Kohli,Harmeet Singh,Middle,0.118775854572133,0.1169625679522274,0.0018132866199055,False
392189,2009,1,2,4,Delhi Capitals,Chennai Super Kings,AB de Villiers,L Balaji,Powerplay,0.2992723208813546,0.2904968773265691,0.0087754435547854,False
392190,2009,1,17,3,Rajasthan Royals,Kolkata Knight Riders,AS Raut,Anureet Singh,Death,0.6339515513872587,0.6378167294917476,0.0038651781044889,False
392190,2009,1,18,4,Rajasthan Royals,Kolkata Knight Riders,AS Raut,CH Gayle,Death,0.551324164667473,0.5540745346675916,0.0027503700001185,False
392191,2009,2,3,2,Punjab Kings,Royal Challengers Bengaluru,K Goel,Pankaj Singh,Powerplay,0.5650732118510435,0.5673194143506708,0.0022462024996272,False
392191,2009,2,6,6,Punjab Kings,Royal Challengers Bengaluru,RS Bopara,JH Kallis,Middle,0.6395435808999389,0.6786361394125577,0.0390925585126188,False
392191,2009,2,9,5,Punjab Kings,Royal Challengers Bengaluru,RS Bopara,KP Pietersen,Middle,0.7580879849094195,0.7594175400641889,0.0013295551547694,False
392191,2009,2,12,5,Punjab Kings,Royal Challengers Bengaluru,Yuvraj Singh,A Kumble,Middle,0.6286195056475571,0.6131240770133415,0.0154954286342156,False
392191,2009,2,15,5,Punjab Kings,Royal Challengers Bengaluru,RS Bopara,P Kumar,Death,0.7821853646738155,0.7925848079824628,0.0103994433086472,False
392192,2009,1,1,5,Deccan Chargers,Mumbai Indians,AC Gilchrist,Z Khan,Powerplay,0.5717386801635512,0.5545142025533645,0.0172244776101867,False
392192,2009,2,5,5,Mumbai Indians,Deccan Chargers,JP Duminy,RP Singh,Powerplay,0.6660569856555119,0.6791265271341049,0.013069541478593,False
392192,2009,2,7,2,Mumbai Indians,Deccan Chargers,SR Tendulkar,PP Ojha,Middle,0.6803393965855768,0.6921526985336784,0.0118133019481015,False
392194,2009,1,8,7,Royal Challengers Bengaluru,Delhi Capitals,LRPL Taylor,A Mishra,Middle,0.6649298317732087,0.6631148257575307,0.001815006015678,False
392194,2009,1,11,3,Royal Challengers Bengaluru,Delhi Capitals,V Kohli,PJ Sangwan,Middle,0.487994330287587,0.4944146150519038,0.0064202847643168,False
392194,2009,2,7,1,Delhi Capitals,Royal Challengers Bengaluru,AB de Villiers,KP Appanna,Middle,0.5559611494458958,0.560058617910021,0.0040974684641251,False
392194,2009,2,7,5,Delhi Capitals,Royal Challengers Bengaluru,TM Dilshan,KP Appanna,Middle,0.5590733200097323,0.602574736928204,0.0435014169184716,False
392194,2009,2,17,1,Delhi Capitals,Royal Challengers Bengaluru,TM Dilshan,R Vinay Kumar,Death,0.7233116807828972,0.7215949295031457,0.0017167512797514,False
392196,2009,2,10,1,Deccan Chargers,Chennai Super Kings,RG Sharma,Joginder Sharma,Middle,0.731603717206422,0.7334112172342788,0.0018075000278567,False
392197,2009,2,4,1,Kolkata Knight Riders,Mumbai Indians,SC Ganguly,DJ Bravo,Powerplay,0.144765790432474,0.1345005747797263,0.0102652156527476,True
392198,2009,2,17,6,Rajasthan Royals,Delhi Capitals,YK Pathan,A Nehra,Death,0.9229539451163266,0.931838560122622,0.0088846150062955,False
392201,2009,1,3,4,Deccan Chargers,Delhi Capitals,RG Sharma,PJ Sangwan,Powerplay,0.3750500937987286,0.3670405429962511,0.0080095508024775,False
392201,2009,1,3,5,Deccan Chargers,Delhi Capitals,RG Sharma,PJ Sangwan,Powerplay,0.3670405429962511,0.3599446146687273,0.0070959283275238,False
392201,2009,1,19,4,Deccan Chargers,Delhi Capitals,Y Venugopal Rao,A Nehra,Death,0.5029160257014064,0.5206339495997344,0.017717923898328,False
392202,2009,2,4,6,Rajasthan Royals,Chennai Super Kings,SA Asnodkar,JDP Oram,Powerplay,0.3355633566638564,0.4125922249330924,0.077028868269236,True
392202,2009,2,9,5,Rajasthan Royals,Chennai Super Kings,YK Pathan,SK Raina,Middle,0.2944434902983995,0.2839821091609089,0.0104613811374906,True
392203,2009,2,17,2,Kolkata Knight Riders,Mumbai Indians,LR Shukla,Z Khan,Death,0.6472379962484546,0.4803230287197863,0.1669149675286682,False
392204,2009,1,9,5,Royal Challengers Bengaluru,Punjab Kings,RV Uthappa,Yuvraj Singh,Middle,0.5027394777223642,0.5027294276892559,1.0050033108277567e-05,False
392204,2009,2,16,4,Punjab Kings,Royal Challengers Bengaluru,KC Sangakkara,P Kumar,Death,0.6464366143325652,0.6392812536308542,0.0071553607017109,False
392204,2009,2,16,6,Punjab Kings,Royal Challengers Bengaluru,DPMD Jayawardene,P Kumar,Death,0.6628422126435086,0.6794850664615981,0.0166428538180894,False
392205,2009,1,14,1,Deccan Chargers,Rajasthan Royals,RG Sharma,MM Patel,Middle,0.6846636598578274,0.7115696255949339,0.0269059657371064,False
