archetype,pearson_r,p_value,n_observations
Anchor,0.24507395136171542,0.002045684606888607,156
Middle-Over Squeezer,0.034690203090345255,0.6672499978707283,156
Death Specialist,-0.08063518653786797,0.3169893723460207,156
Powerplay Aggressor,-0.15933899133189983,0.04693901169061002,156
